"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C8";"C_0805_2012Metric";1;"10uF";;;
2;"RED1,RED2,GREEN1";"LED_0805_2012Metric";3;"LED";;;
3;"C6,C12,C4,C7,C1,C10,C11,C5";"C_0603_1608Metric";8;"0.1uF";;;
4;"R9,R8,R6,R11,R10,R12,R5,R7";"R_0805_2012Metric";8;"100";;;
5;"R15,R14";"R_0603_1608Metric";2;"22";;;
6;"Y1";"Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
7;"F1";"Fuse_1812_4532Metric";1;"Polyfuse_Small";;;
8;"R4,R3";"R_0805_2012Metric";2;"330";;;
9;"S3";"PTS526_SMD_Button";1;"PTS526";;;
10;"C9,C13";"C_0603_1608Metric";2;"1uF";;;
11;"U4";"SOT-23-6";1;"USBLC6-2SC6";;;
12;"R1,R2";"R_0805_2012Metric";2;"10k";;;
13;"U1";"CA56-12EWA";1;"CA56-12EWA";;;
14;"C14";"C_0603_1608Metric";1;"2.2uF";;;
15;"J2";"PinSocket_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
16;"C2,C3";"C_0603_1608Metric";2;"22pF";;;
17;"R17,R13";"R_0603_1608Metric";2;"10k";;;
18;"U3";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
19;"R16";"R_0603_1608Metric";1;"1k";;;
20;"S2,S1";"PTS125_SMD_Button";2;"PTS125SM43SMTR21M_LFS";;;
21;"U5";"SOT-23-5";1;"LP2985-3.3";;;
22;"C15";"C_0603_1608Metric";1;"10nF";;;
23;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Mini";;;
24;"LS1";"Buzzer_12x9.5RM7.6";1;"Speaker";;;
25;"U2";"TSSOP-16_4.4x5mm_P0.65mm";1;"74AHC595";;;
26;"J3";"PinSocket_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
